driver_trip,Move_Up_this_percent,Move_to_this_percentile
1001_96,-30,0
1001_97,30,0
1001_98,3,0
1001_102,30,0
1001_105,-25,0
1001_111,75,0
1001_113,-30,0
1001_116,30,0
1001_127,-35,0
1001_138,10,0
1001_142,-25,0
1001_143,-30,0
1001_153,1,0
1001_156,-30,0
1001_159,3,0
1001_173,-35,0
1001_177,30,0
1001_182,-25,0
1001_194,-25,0
1001_199,75,0
1001_200,-25,0
1002_9,30,0
1002_16,1,0
1002_23,-25,0
1002_26,10,0
1002_29,-35,0
1002_37,10,0
1002_43,30,0
1002_49,-25,0
1002_56,-35,0
1002_59,-30,0
1002_63,1,0
1002_67,-25,0
1002_80,30,0
1002_84,-25,0
1002_88,40,0
1002_89,75,0
1002_94,3,0
1002_102,-25,0
1002_105,-25,0
1002_110,3,0
1002_117,30,0
1002_118,30,0
1002_119,-35,0
1002_128,-25,0
1002_138,-30,0
1002_143,-30,0
1002_156,-30,0
1002_166,3,0
1002_171,-35,0
1002_173,-35,0
1002_175,-30,0
1002_176,-35,0
1002_177,1,0
1002_179,-25,0
1002_183,-30,0
1002_184,-35,0
1002_197,3,0
1002_199,3,0
1003_3,30,0
1003_12,-25,0
1003_16,40,0
1003_21,75,0
1003_29,40,0
1003_47,-25,0
1003_52,3,0
1003_53,3,0
1003_61,-25,0
1003_62,3,0
1003_70,-25,0
1003_72,3,0
1003_82,-35,0
1003_85,-35,0
1003_95,1,0
1003_97,3,0
1003_108,-25,0
1003_117,1,0
1003_133,3,0
1003_137,-35,0
1003_138,40,0
1003_140,40,0
1003_147,-25,0
1003_156,-35,0
1003_168,3,0
1003_169,3,0
1003_170,40,0
1003_182,3,0
1003_195,-25,0
1003_196,3,0
1003_197,-25,0
1004_3,-35,0
1004_8,-35,0
1004_28,-45,0
1004_29,-25,0
1004_31,-35,0
1004_37,40,0
1004_40,-25,0
1004_43,-25,0
1004_44,75,0
1004_46,-35,0
1004_58,-25,0
1004_60,-35,0
1004_64,-45,0
1004_67,30,0
1004_73,-35,0
1004_78,-35,0
1004_84,-25,0
1004_90,-35,0
1004_93,-25,0
1004_97,-25,0
1004_99,-35,0
1004_110,-35,0
1004_112,-25,0
1004_115,-25,0
1004_116,-30,0
1004_120,-35,0
1004_122,-25,0
1004_132,-25,0
1004_136,-35,0
1004_142,30,0
1004_149,-30,0
1004_158,-35,0
1004_164,-25,0
1004_167,-30,0
1004_171,-25,0
1004_172,-25,0
1004_187,-35,0
1004_193,-25,0
1004_200,40,0
1005_2,3,0
1005_8,3,0
1005_11,3,0
1005_34,-25,0
1005_47,-25,0
1005_50,40,0
1005_54,-25,0
1005_63,1,0
1005_65,40,0
1005_68,3,0
1005_69,75,0
1005_82,3,0
1005_83,30,0
1005_95,10,0
1005_97,-25,0
1005_99,1,0
1005_104,-25,0
1005_121,-30,0
1005_123,3,0
1005_127,3,0
1005_129,-25,0
1005_131,-35,0
1005_135,-25,0
1005_136,3,0
1005_150,-25,0
1005_153,-25,0
1005_154,40,0
1005_160,-25,0
1005_168,-25,0
1005_172,-25,0
1005_175,-25,0
1005_177,1,0
1005_186,3,0
1005_187,-30,0
1005_195,-25,0
1005_199,-30,0
1005_200,-25,0
1006_8,3,0
1006_13,3,0
1006_17,30,0
1006_21,-35,0
1006_30,-35,0
1006_38,3,0
1006_41,-25,0
1006_45,-30,0
1006_52,3,0
1006_67,-35,0
1006_68,-30,0
1006_77,-25,0
1006_99,-25,0
1006_100,-25,0
1006_102,-35,0
1006_103,-30,0
1006_105,-35,0
1006_106,3,0
1006_108,-25,0
1006_116,-30,0
1006_118,-25,0
1006_134,-30,0
1006_145,30,0
1006_161,30,0
1006_168,-25,0
1006_186,3,0
1006_189,75,0
1006_193,30,0
1007_2,40,0
1007_4,-30,0
1007_6,3,0
1007_14,3,0
1007_29,3,0
1007_38,10,0
1007_40,-25,0
1007_43,3,0
1007_44,30,0
1007_46,-25,0
1007_48,30,0
1007_51,-25,0
1007_52,3,0
1007_64,3,0
1007_66,-25,0
1007_67,40,0
1007_72,-25,0
1007_81,-25,0
1007_82,-25,0
1007_87,40,0
1007_88,-25,0
1007_89,40,0
1007_95,-30,0
1007_97,-25,0
1007_100,3,0
1007_107,75,0
1007_108,-25,0
1007_110,75,0
1007_114,-25,0
1007_116,-25,0
1007_117,-25,0
1007_120,3,0
1007_132,-25,0
1007_138,75,0
1007_147,3,0
1007_153,-30,0
1007_155,40,0
1007_158,-25,0
1007_159,-25,0
1007_171,30,0
1007_176,-30,0
1007_178,30,0
1007_179,-25,0
1007_181,-25,0
1007_182,3,0
1007_186,3,0
1007_188,-25,0
1007_192,-25,0
1007_193,-35,0
1007_198,30,0
1007_200,3,0
1008_1,75,0
1008_7,-35,0
1008_8,-25,0
1008_18,3,0
1008_32,1,0
1008_45,-25,0
1008_60,3,0
1008_64,30,0
1008_66,40,0
1008_67,10,0
1008_71,30,0
1008_73,-35,0
1008_76,-35,0
1008_88,40,0
1008_91,-25,0
1008_101,-35,0
1008_103,-25,0
1008_123,-25,0
1008_126,-35,0
1008_129,3,0
1008_136,10,0
1008_149,-25,0
1008_154,-25,0
1008_160,3,0
1008_166,3,0
1008_184,-25,0
1008_190,3,0
1008_196,40,0
1009_5,3,0
1009_7,3,0
1009_10,-25,0
1009_15,-25,0
1009_19,-30,0
1009_30,1,0
1009_32,10,0
1009_34,-30,0
1009_35,3,0
1009_37,-30,0
1009_50,3,0
1009_54,3,0
1009_61,-25,0
1009_62,1,0
1009_66,75,0
1009_74,30,0
1009_77,3,0
1009_78,-25,0
1009_81,-30,0
1009_90,-30,0
1009_102,-25,0
1009_105,-30,0
1009_109,-25,0
1009_112,-25,0
1009_120,30,0
1009_122,-30,0
1009_125,1,0
1009_126,-30,0
1009_127,1,0
1009_142,1,0
1009_147,-25,0
1009_149,-25,0
1009_167,3,0
1009_169,-30,0
1009_173,30,0
1009_191,30,0
1009_194,-25,0
1009_196,-25,0
101_10,3,0
101_12,-25,0
101_15,-25,0
101_18,-35,0
101_24,-25,0
101_29,-25,0
101_33,40,0
101_36,30,0
101_58,-25,0
101_60,-25,0
101_72,-25,0
101_76,-25,0
101_89,-25,0
101_94,-25,0
101_96,-30,0
101_102,-25,0
101_104,-25,0
101_105,75,0
101_106,-25,0
101_109,-25,0
101_113,-25,0
101_124,3,0
101_130,40,0
101_134,-25,0
101_135,-25,0
101_148,-25,0
101_150,-30,0
101_153,-35,0
101_170,-25,0
101_181,-25,0
101_184,-25,0
101_188,-25,0
1010_1,10,0
1010_3,-25,0
1010_4,40,0
1010_8,-25,0
1010_14,30,0
1010_26,-25,0
1010_31,-25,0
1010_38,3,0
1010_56,-25,0
1010_60,3,0
1010_63,30,0
1010_64,-25,0
1010_70,1,0
1010_74,-35,0
1010_78,3,0
1010_94,-35,0
1010_95,-30,0
1010_98,3,0
1010_101,-30,0
1010_105,-25,0
1010_108,40,0
1010_109,40,0
1010_110,-25,0
1010_113,40,0
1010_115,30,0
1010_119,3,0
1010_121,-25,0
1010_132,3,0
1010_133,3,0
1010_134,-25,0
1010_137,-35,0
1010_151,-30,0
1010_152,30,0
1010_153,-25,0
1010_160,-25,0
1010_161,3,0
1010_172,40,0
1010_190,10,0
1010_199,10,0
1011_1,-25,0
1011_5,-25,0
1011_6,1,0
1011_8,-25,0
1011_9,-25,0
1011_12,-30,0
1011_18,-30,0
1011_21,3,0
1011_23,-25,0
1011_26,30,0
1011_29,-25,0
1011_32,3,0
1011_41,3,0
1011_45,30,0
1011_51,-35,0
1011_52,-25,0
1011_54,-35,0
1011_56,-30,0
1011_57,-25,0
1011_60,10,0
1011_64,-25,0
1011_65,-35,0
1011_68,-35,0
1011_71,-25,0
1011_73,40,0
1011_75,-25,0
1011_76,-30,0
1011_77,-25,0
1011_85,30,0
1011_87,-25,0
1011_90,-25,0
1011_91,10,0
1011_97,-25,0
1011_102,3,0
1011_107,30,0
1011_116,-35,0
1011_117,3,0
1011_120,-25,0
1011_122,-25,0
1011_130,-30,0
1011_135,-25,0
1011_136,-25,0
1011_146,-25,0
1011_148,-25,0
1011_149,75,0
1011_150,-35,0
1011_153,-25,0
1011_157,-25,0
1011_161,3,0
1011_165,30,0
1011_168,10,0
1011_169,10,0
1011_170,-25,0
1011_178,10,0
1011_187,3,0
1011_193,-25,0
1011_195,75,0
1012_1,-30,0
1012_21,-25,0
1012_32,-25,0
1012_36,-25,0
1012_38,-25,0
1012_54,-25,0
1012_68,-25,0
1012_71,-25,0
1012_84,-25,0
1012_89,75,0
1012_104,-25,0
1012_107,75,0
1012_109,-25,0
1012_126,-25,0
1012_127,-35,0
1012_131,40,0
1012_140,-25,0
1012_142,-25,0
1012_144,-25,0
1012_149,3,0
1012_153,-25,0
1012_156,30,0
1012_175,-25,0
1012_179,-25,0
1012_184,-25,0
1012_185,3,0
1012_193,3,0
1013_3,30,0
1013_22,-35,0
1013_26,3,0
1013_27,-30,0
1013_30,-25,0
1013_39,30,0
1013_45,10,0
1013_53,-25,0
1013_54,-25,0
1013_55,-25,0
1013_58,40,0
1013_62,-25,0
1013_79,-30,0
1013_81,-30,0
1013_82,-25,0
1013_83,-45,0
1013_85,-25,0
1013_87,-25,0
1013_88,3,0
1013_98,-35,0
1013_101,-25,0
1013_102,1,0
1013_115,1,0
1013_117,-35,0
1013_119,-25,0
1013_122,-35,0
1013_124,-30,0
1013_131,-35,0
1013_150,-35,0
1013_151,-25,0
1013_154,-25,0
1013_162,3,0
1013_167,1,0
1013_169,-25,0
1013_172,3,0
1013_177,-25,0
1013_181,-35,0
1013_186,30,0
1013_190,30,0
1013_194,-25,0
1015_4,-30,0
1015_6,-25,0
1015_12,75,0
1015_21,-30,0
1015_24,-25,0
1015_30,-25,0
1015_37,40,0
1015_42,-30,0
1015_47,-25,0
1015_48,-25,0
1015_49,-25,0
1015_56,-35,0
1015_59,-25,0
1015_65,-25,0
1015_68,-30,0
1015_71,3,0
1015_74,-35,0
1015_83,1,0
1015_87,3,0
1015_89,-30,0
1015_107,-25,0
1015_111,-25,0
1015_115,-30,0
1015_124,-35,0
1015_125,-30,0
1015_134,-35,0
1015_144,-25,0
1015_145,1,0
1015_146,-35,0
1015_156,-30,0
1015_162,-30,0
1015_163,-35,0
1015_169,-25,0
1015_172,-30,0
1015_181,-25,0
1015_182,40,0
1015_187,-25,0
1015_191,-25,0
1015_193,-35,0
1015_196,-35,0
1015_200,-30,0
1016_3,-25,0
1016_6,-30,0
1016_9,-25,0
1016_13,-25,0
1016_22,3,0
1016_24,3,0
1016_25,1,0
1016_33,3,0
1016_35,-35,0
1016_41,-25,0
1016_42,-35,0
1016_43,1,0
1016_49,-30,0
1016_52,3,0
1016_55,-25,0
1016_62,3,0
1016_65,-35,0
1016_68,3,0
1016_73,-35,0
1016_75,-25,0
1016_84,-35,0
1016_85,-35,0
1016_87,30,0
1016_90,3,0
1016_99,-30,0
1016_100,-35,0
1016_103,-25,0
1016_108,3,0
1016_121,30,0
1016_128,3,0
1016_134,-25,0
1016_149,-35,0
1016_152,-25,0
1016_159,-25,0
1016_161,30,0
1016_176,3,0
1016_177,-35,0
1016_178,-25,0
1016_180,-25,0
1016_183,3,0
1016_186,10,0
1016_196,30,0
1017_1,-25,0
1017_5,-25,0
1017_11,-25,0
1017_22,3,0
1017_25,3,0
1017_27,-25,0
1017_31,-35,0
1017_34,-25,0
1017_44,3,0
1017_49,-25,0
1017_50,-25,0
1017_56,-25,0
1017_63,3,0
1017_70,-30,0
1017_74,-25,0
1017_78,-25,0
1017_79,-25,0
1017_91,-25,0
1017_94,-30,0
1017_96,30,0
1017_102,-30,0
1017_104,30,0
1017_107,-25,0
1017_108,-25,0
1017_119,30,0
1017_129,10,0
1017_137,-25,0
1017_138,-25,0
1017_139,-25,0
1017_140,-25,0
1017_142,75,0
1017_148,-25,0
1017_149,-25,0
1017_152,-35,0
1017_153,3,0
1017_154,10,0
1017_160,30,0
1017_161,-35,0
1017_163,-25,0
1017_165,-35,0
1017_177,3,0
1017_189,10,0
1017_194,-30,0
1017_197,-25,0
1018_1,30,0
1018_2,-35,0
1018_11,3,0
1018_17,3,0
1018_19,-25,0
1018_28,-35,0
1018_31,-25,0
1018_35,-25,0
1018_42,3,0
1018_55,-30,0
1018_59,-30,0
1018_61,-25,0
1018_65,40,0
1018_77,10,0
1018_83,-35,0
1018_96,40,0
1018_100,3,0
1018_103,-35,0
1018_112,-35,0
1018_114,-30,0
1018_115,3,0
1018_116,-30,0
1018_117,-25,0
1018_121,-35,0
1018_122,3,0
1018_132,3,0
1018_144,30,0
1018_152,-25,0
1018_173,-25,0
1018_183,-35,0
1018_191,-25,0
1018_194,-35,0
102_5,-25,0
102_9,3,0
102_16,-25,0
102_24,-25,0
102_37,-25,0
102_43,-35,0
102_47,-25,0
102_49,-25,0
102_60,-35,0
102_90,30,0
102_92,-45,0
102_99,-25,0
102_113,3,0
102_124,40,0
102_127,-35,0
102_133,40,0
102_135,-25,0
102_136,-25,0
102_137,75,0
102_150,3,0
102_151,75,0
102_154,40,0
102_175,-25,0
102_184,-25,0
102_188,-25,0
102_189,-25,0
1020_4,-35,0
1020_9,-25,0
1020_12,-35,0
1020_14,3,0
1020_16,-25,0
1020_17,-30,0
1020_31,-35,0
1020_32,-35,0
1020_34,-35,0
1020_35,-25,0
1020_43,3,0
1020_44,1,0
1020_47,-25,0
1020_49,-35,0
1020_53,-35,0
1020_67,3,0
1020_72,-25,0
1020_77,3,0
1020_85,-25,0
1020_90,-25,0
1020_101,40,0
1020_108,3,0
1020_117,-30,0
1020_119,-25,0
1020_120,3,0
1020_124,-30,0
1020_125,-30,0
1020_137,-30,0
1020_138,-35,0
1020_141,-35,0
1020_150,30,0
1020_165,-35,0
1020_184,-35,0
1020_192,3,0
1020_196,-25,0
1020_198,-25,0
1021_12,-25,0
1021_16,1,0
1021_17,-25,0
1021_19,3,0
1021_44,40,0
1021_45,30,0
1021_52,-35,0
1021_58,-25,0
1021_60,3,0
1021_74,-30,0
1021_78,-35,0
1021_79,3,0
1021_80,-25,0
1021_89,40,0
1021_93,75,0
1021_100,3,0
1021_105,-35,0
1021_109,-35,0
1021_111,-35,0
1021_114,-30,0
1021_126,3,0
1021_131,-25,0
1021_133,75,0
1021_137,3,0
1021_142,-25,0
1021_146,-25,0
1021_148,-35,0
1021_157,-35,0
1021_159,-35,0
1021_168,3,0
1021_172,-25,0
1021_177,-25,0
1021_190,-25,0
1022_7,3,0
1022_9,75,0
1022_11,-25,0
1022_16,-25,0
1022_20,-35,0
1022_22,-35,0
1022_26,-25,0
1022_28,-35,0
1022_32,40,0
1022_33,-35,0
1022_37,-25,0
1022_40,-25,0
1022_42,3,0
1022_51,1,0
1022_52,40,0
1022_55,-30,0
1022_57,30,0
1022_71,-35,0
1022_75,-25,0
1022_81,-25,0
1022_89,-25,0
1022_91,-35,0
1022_98,1,0
1022_101,3,0
1022_103,3,0
1022_106,75,0
1022_108,-30,0
1022_109,40,0
1022_110,-25,0
1022_121,-25,0
1022_123,1,0
1022_126,40,0
1022_128,30,0
1022_130,3,0
1022_131,-25,0
1022_134,40,0
1022_139,75,0
1022_145,-25,0
1022_149,-25,0
1022_150,-35,0
1022_159,-35,0
1022_161,-35,0
1022_167,75,0
1022_168,-25,0
1022_172,1,0
1022_174,-25,0
1022_199,30,0
1023_4,-25,0
1023_16,-25,0
1023_20,-25,0
1023_26,-25,0
1023_29,75,0
1023_32,3,0
1023_36,-25,0
1023_41,30,0
1023_51,3,0
1023_66,-25,0
1023_82,30,0
1023_92,-25,0
1023_95,40,0
1023_98,-25,0
1023_102,-25,0
1023_109,-25,0
1023_112,40,0
1023_118,40,0
1023_131,10,0
1023_140,-25,0
1023_147,3,0
1023_149,-25,0
1023_164,30,0
1023_176,-30,0
1023_180,-30,0
1023_188,-25,0
1023_189,3,0
1023_199,3,0
1024_4,-25,0
1024_11,-35,0
1024_16,30,0
1024_23,-35,0
1024_29,10,0
1024_33,40,0
1024_34,-25,0
1024_35,-35,0
1024_43,3,0
1024_49,-25,0
1024_52,-35,0
1024_55,3,0
1024_56,-25,0
1024_57,-35,0
1024_64,-35,0
1024_66,-35,0
1024_67,-25,0
1024_71,40,0
1024_72,-35,0
1024_75,75,0
1024_76,10,0
1024_77,3,0
1024_80,-30,0
1024_81,-25,0
1024_82,3,0
1024_87,-30,0
1024_91,-25,0
1024_112,40,0
1024_117,-35,0
1024_127,-25,0
1024_130,-25,0
1024_132,3,0
1024_133,-35,0
1024_135,3,0
1024_138,-25,0
1024_157,-25,0
1024_163,40,0
1024_165,-25,0
1024_168,10,0
1024_184,-35,0
1024_191,3,0
1024_197,-30,0
1025_2,-35,0
1025_3,75,0
1025_18,3,0
1025_30,30,0
1025_40,30,0
1025_43,30,0
1025_59,-25,0
1025_68,-25,0
1025_70,3,0
1025_78,3,0
1025_83,-25,0
1025_85,-25,0
1025_94,-25,0
1025_109,3,0
1025_112,30,0
1025_118,3,0
1025_125,-25,0
1025_134,30,0
1025_137,40,0
1025_147,-25,0
1025_162,-30,0
1025_168,40,0
1025_172,-30,0
1025_179,-30,0
1025_182,-25,0
1025_183,-30,0
1025_191,-25,0
1025_197,40,0
1026_1,1,0
1026_3,-35,0
1026_19,-35,0
1026_23,-35,0
1026_32,-25,0
1026_37,-35,0
1026_44,3,0
1026_57,-25,0
1026_59,-30,0
1026_63,3,0
1026_73,3,0
1026_74,-35,0
1026_79,-25,0
1026_80,-35,0
1026_91,-25,0
1026_93,-35,0
1026_102,-25,0
1026_108,3,0
1026_114,-25,0
1026_115,-30,0
1026_120,30,0
1026_125,75,0
1026_126,-25,0
1026_131,-30,0
1026_132,1,0
1026_136,75,0
1026_146,-25,0
1026_155,-45,0
1026_157,3,0
1026_162,-25,0
1026_171,-25,0
1026_174,40,0
1026_175,-25,0
1026_177,3,0
1026_179,3,0
1026_189,-25,0
1026_193,-35,0
1026_196,30,0
1027_7,-35,0
1027_9,-35,0
1027_10,-25,0
1027_14,-25,0
1027_21,-30,0
1027_26,-25,0
1027_29,-25,0
1027_31,-25,0
1027_37,-25,0
1027_41,-30,0
1027_42,-25,0
1027_43,-25,0
1027_46,-30,0
1027_50,75,0
1027_54,10,0
1027_58,10,0
1027_61,-30,0
1027_70,-35,0
1027_85,-25,0
1027_96,10,0
1027_97,30,0
1027_100,3,0
1027_103,30,0
1027_105,40,0
1027_108,-25,0
1027_114,-25,0
1027_123,-25,0
1027_135,-25,0
1027_136,-25,0
1027_137,-25,0
1027_138,-25,0
1027_143,-25,0
1027_145,-25,0
1027_146,-25,0
1027_148,-30,0
1027_151,-25,0
1027_156,-30,0
1027_157,-25,0
1027_158,-25,0
1027_159,10,0
1027_160,-30,0
1027_162,-30,0
1027_163,-30,0
1027_165,-25,0
1027_174,-30,0
1027_175,1,0
1027_176,-25,0
1027_194,-25,0
1027_195,-25,0
1029_1,-25,0
1029_13,30,0
1029_20,-25,0
1029_37,3,0
1029_49,-25,0
1029_55,-30,0
1029_63,-25,0
1029_81,3,0
1029_89,-25,0
1029_101,-25,0
1029_105,-25,0
1029_113,-25,0
1029_123,-25,0
1029_126,-25,0
1029_130,-25,0
1029_139,-25,0
1029_151,-25,0
1029_156,-35,0
1029_157,75,0
1029_160,-25,0
1029_170,-25,0
1029_177,-25,0
103_5,-25,0
103_6,30,0
103_12,-35,0
103_21,-25,0
103_37,-35,0
103_44,-25,0
103_47,-25,0
103_49,-35,0
103_52,40,0
103_55,-35,0
103_70,-35,0
103_85,-35,0
103_90,-25,0
103_99,1,0
103_110,-25,0
103_115,-35,0
103_122,-25,0
103_126,-25,0
103_136,30,0
103_139,-35,0
103_151,-25,0
103_152,-30,0
103_172,3,0
103_177,30,0
103_178,-30,0
103_179,-25,0
103_182,30,0
1030_2,10,0
1030_3,-30,0
1030_11,-25,0
1030_12,-30,0
1030_14,3,0
1030_17,30,0
1030_32,-25,0
1030_47,-25,0
1030_49,-25,0
1030_54,-25,0
1030_56,-25,0
1030_57,3,0
1030_58,-25,0
1030_59,3,0
1030_60,-25,0
1030_62,3,0
1030_72,-35,0
1030_73,1,0
1030_77,40,0
1030_79,-25,0
1030_80,-35,0
1030_82,-25,0
1030_90,3,0
1030_98,30,0
1030_101,75,0
1030_106,30,0
1030_108,-35,0
1030_114,-30,0
1030_117,3,0
1030_118,-25,0
1030_121,40,0
1030_123,-30,0
1030_126,1,0
1030_129,-30,0
1030_131,3,0
1030_132,-35,0
1030_134,-35,0
1030_136,1,0
1030_146,3,0
1030_150,30,0
1030_151,3,0
1030_152,1,0
1030_154,40,0
1030_155,75,0
1030_159,3,0
1030_164,-25,0
1030_169,-25,0
1030_178,40,0
1030_179,-25,0
1030_181,-30,0
1030_185,-25,0
1030_190,-35,0
1030_197,1,0
1030_198,30,0
1030_199,-30,0
1031_9,-30,0
1031_11,-30,0
1031_16,1,0
1031_26,-30,0
1031_36,-35,0
1031_39,1,0
1031_65,10,0
1031_67,-25,0
1031_71,30,0
1031_76,-25,0
1031_83,-25,0
1031_91,-25,0
1031_96,3,0
1031_100,3,0
1031_103,-25,0
1031_119,-30,0
1031_129,-25,0
1031_146,-25,0
1031_147,-35,0
1031_166,-30,0
1031_174,-30,0
1031_176,-30,0
1031_177,-25,0
1031_183,-25,0
1031_194,-30,0
1032_3,-30,0
1032_7,30,0
1032_10,-25,0
1032_14,-25,0
1032_15,30,0
1032_17,-35,0
1032_22,-35,0
1032_27,-35,0
1032_28,-30,0
1032_33,-30,0
1032_40,-25,0
1032_49,-35,0
1032_50,-25,0
1032_58,-35,0
1032_59,40,0
1032_62,-35,0
1032_67,-35,0
1032_69,1,0
1032_70,-25,0
1032_74,-25,0
1032_77,-35,0
1032_79,-30,0
1032_82,-25,0
1032_83,-25,0
1032_85,-25,0
1032_88,-30,0
1032_89,30,0
1032_92,3,0
1032_98,-30,0
1032_102,30,0
1032_103,30,0
1032_106,-25,0
1032_107,3,0
1032_111,3,0
1032_114,30,0
1032_115,3,0
1032_116,1,0
1032_117,-30,0
1032_119,30,0
1032_121,40,0
1032_124,-25,0
1032_129,-30,0
1032_132,-30,0
1032_134,1,0
1032_138,-25,0
1032_140,3,0
1032_141,3,0
1032_142,-35,0
1032_144,30,0
1032_146,30,0
1032_149,1,0
1032_152,-25,0
1032_154,-35,0
1032_159,-25,0
1032_160,-30,0
1032_164,-35,0
1032_165,30,0
1032_167,-35,0
1032_169,-30,0
1032_171,-25,0
1032_179,-25,0
1032_181,-35,0
1032_186,-25,0
1032_188,-35,0
1032_193,-25,0
1032_194,3,0
1032_195,-25,0
1032_198,-25,0
1032_200,-35,0
1033_6,-25,0
1033_22,3,0
1033_23,-45,0
1033_27,-25,0
1033_33,-35,0
1033_40,-35,0
1033_47,-25,0
1033_62,-25,0
1033_65,-25,0
1033_71,3,0
1033_83,-35,0
1033_92,-25,0
1033_96,3,0
1033_98,30,0
1033_102,-35,0
1033_107,3,0
1033_114,-25,0
1033_115,-35,0
1033_128,30,0
1033_142,3,0
1033_143,3,0
1033_145,-25,0
1033_149,-35,0
1033_153,-25,0
1033_164,-35,0
1033_170,3,0
1033_175,-35,0
1033_179,-30,0
1033_184,-35,0
1033_194,-35,0
1033_196,-25,0
1035_1,-25,0
1035_4,-25,0
1035_10,-30,0
1035_12,75,0
1035_14,30,0
1035_22,75,0
1035_36,-25,0
1035_39,-25,0
1035_43,75,0
1035_54,-25,0
1035_61,-35,0
1035_76,-35,0
1035_98,-30,0
1035_108,-25,0
1035_117,75,0
1035_119,-35,0
1035_123,-25,0
1035_126,-35,0
1035_129,-30,0
1035_139,-30,0
1035_142,-30,0
1035_143,30,0
1035_160,-30,0
1035_163,-35,0
1035_164,-25,0
1035_180,30,0
1035_181,-30,0
1036_3,30,0
1036_4,-35,0
1036_6,40,0
1036_8,-25,0
1036_12,1,0
1036_16,-25,0
1036_20,-25,0
1036_21,40,0
1036_23,-25,0
1036_25,-35,0
1036_26,-25,0
1036_29,1,0
1036_30,1,0
1036_40,-25,0
1036_41,-30,0
1036_48,40,0
1036_54,-25,0
1036_62,-25,0
1036_65,-25,0
1036_74,-25,0
1036_78,-25,0
1036_79,-35,0
1036_86,-25,0
1036_87,-25,0
1036_88,-25,0
1036_93,-25,0
1036_99,-25,0
1036_104,30,0
1036_118,40,0
1036_122,-25,0
1036_124,75,0
1036_128,3,0
1036_130,-25,0
1036_138,-25,0
1036_145,-25,0
1036_152,3,0
1036_157,3,0
1036_158,40,0
1036_174,-25,0
1036_175,-35,0
1036_179,-25,0
1036_182,-25,0
1036_185,-25,0
1036_188,-25,0
1036_193,3,0
1036_195,3,0
1036_199,30,0
1037_9,-35,0
1037_25,-25,0
1037_33,-35,0
1037_37,30,0
1037_52,3,0
1037_71,30,0
1037_74,-25,0
1037_79,-25,0
1037_80,-25,0
1037_87,-35,0
1037_91,30,0
1037_92,-35,0
1037_93,-30,0
1037_94,-25,0
1037_101,-25,0
1037_102,-35,0
1037_116,-25,0
1037_117,-25,0
1037_120,-30,0
1037_126,3,0
1037_128,-45,0
1037_137,-25,0
1037_139,-25,0
1037_140,-30,0
1037_144,-25,0
1037_147,-25,0
1037_151,-35,0
1037_165,30,0
1037_170,-25,0
1037_174,-30,0
1037_184,-35,0
1037_186,-25,0
1037_192,-35,0
